 Nuclides of the ICRP-07 Collection Decaying by Beta Minus Emission

                                         --- Energy ---
                     Decay      Yield    Mean  End Point
  Nuclide    T1/2    Mode       (/nt)    (MeV)   (MeV)
  ------------------------------------------------------
  Tm-171     1.92 y  B-       1.000E+00 0.02477 0.09640
  Tm-172     63.6 h  B-       1.000E+00 0.49242 1.88000
  Tm-173     8.24 h  B-       1.000E+00 0.29420 1.29800
  Tm-174      5.4 m  B-       1.000E+00 0.38343 1.19550
  Tm-175     15.2 m  B-       1.000E+00 0.40659 1.88530
  Tm-176     1.85 m  B-       1.000E+00 0.88497 3.84802
  Yb-175    4.185 d  B-       1.000E+00 0.12589 0.46880
  Yb-177    1.911 h  B-       1.000E+00 0.41674 1.39800
  Yb-178       74 m  B-       1.000E+00 0.18796 0.64500
  Yb-179      8.0 m  B-       1.000E+00 0.60808 2.05760
  Lu-176 3.85E+10 y  B-       1.000E+00 0.18268 0.59577
  Lu-176m   3.635 h  B-EC     9.991E-01 0.43916 1.31580
  Lu-177    6.647 d  B-       1.000E+00 0.13327 0.49780
  Lu-177m   160.4 d  B-IT     7.830E-01 0.04068 0.15252
  Lu-178     28.4 m  B-       1.000E+00 0.73261 2.09910
  Lu-178m    23.1 m  B-       1.000E+00 0.34476 1.07543
  Lu-179     4.59 h  B-       1.000E+00 0.48470 1.40500
  Lu-180      5.7 m  B-       1.000E+00 0.56568 2.79145
  Lu-181      3.5 m  B-       1.000E+00 0.74706 2.57118
  Hf-180m     5.5 h  ITB-     3.000E-03 0.05607 0.21308
  Hf-181    42.39 d  B-       1.000E+00 0.12085 1.02830
  Hf-182     9E+6 y  B-       1.000E+00 0.03023 0.10259
  Hf-182m    61.5 m  B-IT     5.800E-01 0.16527 0.89330
  Hf-183    1.067 h  B-       1.000E+00 0.42693 1.54993
  Hf-184     4.12 h  B-       1.000E+00 0.31096 1.11160
  Ta-180    8.152 h  ECB-     1.400E-01 0.21338 0.70800
  Ta-182   114.43 d  B-       1.000E+00 0.12650 1.71349
  Ta-183      5.1 d  B-       1.000E+00 0.18730 0.65841
  Ta-184      8.7 h  B-       1.000E+00 0.39311 1.44107
  Ta-185     49.4 m  B-       1.000E+00 0.64076 1.81809
  Ta-186     10.5 m  B-       1.000E+00 0.99621 3.77771
  W-185      75.1 d  B-       1.000E+00 0.12692 0.43300
  W-187     23.72 h  B-       1.000E+00 0.27367 1.31240
  W-188     69.78 d  B-       1.000E+00 0.09900 0.34900
  W-190      30.0 m  B-       1.000E+00 0.31340 0.95030
  Re-186   3.7183 d  B-EC     9.253E-01 0.34656 1.06950
  Re-187 4.12E+10 y  B-       1.000E+00 0.00062 0.00247
  Re-188  17.0040 h  B-       1.000E+00 0.76262 2.12040
  Re-189     24.3 h  B-       1.000E+00 0.30650 1.00800
  Re-190      3.1 m  B-       1.000E+00 0.63235 1.75308
  Re-190m     3.2 h  B-IT     5.440E-01 0.64350 2.80211
  Os-191     15.4 d  B-       1.000E+00 0.03776 0.14242
  Os-193    30.11 h  B-       1.000E+00 0.34882 1.14050
  Os-194      6.0 y  B-       1.000E+00 0.01639 0.09660
  Os-196     34.9 m  B-       1.000E+00 0.36488 1.16000
  Ir-192   73.827 d  B-EC     9.513E-01 0.18066 0.67512
  Ir-192m    1.45 m  ITB-     1.750E-04 0.44393 1.51644
  Ir-194    19.28 h  B-       1.000E+00 0.80609 2.24680
  Ir-194m     171 d  B-       1.000E+00 0.05514 0.19340
  Ir-195      2.5 h  B-       1.000E+00 0.33044 1.10700
  Ir-195m     3.8 h  B-IT     9.500E-01 0.20178 0.94762
  Ir-196       52 s  B-       1.000E+00 1.15511 3.20900
  Ir-196m    1.40 h  B-       1.000E+00 0.26212 0.95060
  Pt-197  19.8915 h  B-       1.000E+00 0.19514 0.71890
  Pt-197m   95.41 m  ITB-     3.300E-02 0.22183 0.70950
  Pt-199    30.80 m  B-       1.000E+00 0.52254 1.70200
  Pt-200     12.5 h  B-       1.000E+00 0.16427 0.67000
  Pt-202       44 h  B-       1.000E+00 0.65366 1.80000
